AÑO,No.,VALOR ADICIONAL,VALOR TOTAL,OBJETO,MUNICIPIO,ESTADO,FECHA INICIO,FECHA TERMINACION,% AVANCE OBRA,% EJECUCION $$$$
2014,1127,"$ 299,999,746.00","$ 1,352,600,300.00","CONSTRUCCION DEL PUENTE SOBRE LA QUEBRADA LA INDIA EN LA VIA QUE COMUNICA LOS CORREGIMIENTOS DE CAMPO CAPOTE, INDIA MEDIA, LA ESPERANZA, EL CAÑO DE LA MUERTA Y LA AURORA EN EL MUNICIPIO DE PUERTO PARRA",PUERTO PARRA,LIQUIDADO,2014-12-10T00:00:00.000,2016-02-04T00:00:00.000,100.00%,100.00%
2014,1133,$ 0.00,"$ 46,798,479.00",MEJORAMIENTO Y ADECUACION POLIDEPORTIVO VEREDA CHANCHON DEL MUNICIPIO DEL SOCORRO,SOCORRO,LIQUIDADO,2014-06-20T00:00:00.000,2014-09-19T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1136,$ 0.00,"$ 335,409,360.00","INTERVENTORIA PARA LOS PROYECTOS DE ELECTRIFICACION RURAL""CONSTRUCCION REDES DE MEDIA, BAJA TENSION,INSTALACIONES INTERNAS Y MONTAJE DE TRANSFORMADORES PARA LA ELECTRIFICACION DE LAS VEREDAS EL LIMON, GUAMALES,CERCA AL 18 Y OTRAS DEL MUNICIPIO DE SAN VICENTE DE CHUCURI -
CONSTRUCCION DE REDES EN MEDIA Y BAJA TENSION,MONTAJE DE TRANSFORMADORES E INSTALACIONES INTERNAS PARA LA ELECTRIFICACION DE LAS VEREDAS NUCUBUCA, NUEVA GRANADA, ORTIGAL, CAMARA, CUPAGA, CENTRO, SISOTA, POTRERO GRANDE, EL AZUCAR, QUEBRADAS, TORMENTA Y OTRAS FASE 1 DEL MUNICIPIO DE GUACA -
CONSTRUCCION REDES DE MEDIA Y BAJA TENSION , MONTAJE DE TRANSFORMADORES E INSTALACIONES INTERNAS PARA LA ELECTRIFICACION RURAL DE LAS VEREDAS PUERTO ARGILIO Y CAÑO SAN PEDRO FASE 1 MUNICIPIO DE SIMACOTA
CONSTRUCCION DE REDES EN MEDIA Y BAJA TENSION, MONTAJE DE TRANSFORMADORES E INSTALACIONES INTERNAS, PARA LA ELECTRIFICACION RURAL DE LAS VEREDAS QUITASOL, EL TOPON, LA HONDA Y OTRAS DEL MUNICIPIO DE GUADALUPE - 
CONSTRUCCION DE REDES DE MEDIA Y BAJA TENSION, INSTALACIONES INTERNAS Y MONTAJE DE TRANSFORMADORES PARA LA ELECTRIFICACION RURAL DE LAS VEREDAS TOGUI Y HONDURAS DEL MUNICIPIO DEL PEÑON - 
CONSTRUCCION DE REDES DE MEDIA Y BAJA TENSION, MONTAJE DE TRANSFORMADORES E INSTALACIONES INTERNAS PARA LA ELECTRIFICACION RURAL DE LA VEREDA PUERTO RICO DEL MUNICIPIO DE VELEZ","SAN VICENTE DE CHUCURI -
GUACA -
SIMACOTA -
GUADALUPE -
EL PEÑON -
VELEZ",LIQUIDADO,2014-05-20T00:00:00.000,2015-12-02T00:00:00.000,"100%
100%
100%
100%
100%
100%","100%
ACTA FINAL"
2014,1139,$ 0.00,"$ 448,252,443.00",CONSTRUCCION PAVIMENTO EN PIEDRA BARICHARA BARRIO VILLA PALMAS CASCO URBANO DEL MUNICIPIO DE PALMAS DEL SOCORRO,PALMAS DEL SOCORRO,LIQUIDADO,2014-05-05T00:00:00.000,2014-09-04T00:00:00.000,100.00%,"100%
FINAL"
2014,1141,"$ 748,606,127.00","$ 2,245,853,347.00",CONSTRUCCION DE CUBIERTA Y ACABADOS CENTRO DE ESPECTACULOS DE BARBOSA CENESBA - SANTANDER,BARBOSA,LIQUIDADO,2014-05-30T00:00:00.000,2016-05-30T00:00:00.000,100.00%,100.00%
2014,1142,$ 0.00,"$ 171,048,039.00",MANTENIMIENTO Y TERMINACION DEL COLISEO CUBIERTO DEL MUNICIPIO EL GUACAMAYO,GUACAMAYO,LIQUIDADO,2014-04-28T00:00:00.000,2014-10-26T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1143,$ 0.00,"$ 17,817,600.00","INTERVENTORIA CONSTRUCCION DE PLACA HUELLA EN CONCRETO RIGIDO EN LA VIA LA YE FINCA LA LAJITO LA GLORIA EN LA VEREDA CENTRO LLANO DEL MUNICIPIO DE GUADALUPE, SANTANDER",GUADALUPE,LIQUIDADO,2014-04-21T00:00:00.000,2014-07-20T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1164,$ 0.00,"$ 3,645,324,362.00","CONSTRUCCION REDES DE MEDIA, BAJA TENSION, INSTALACIONES INTERNAS Y MONTAJE DE TRANSFORMADORES PARA LA ELECTRIFICACION DE LAS VEREDAS EL LIMON, GUAMALES, CERCA AL 18 Y OTRAS DEL MUNICIPIO DE SAN VICENTE DE CHUCURI; 
CONSTRUCCION DE REDES EN MEDIA Y BAJA TENSION, MONTAJE DE TRANSFORMADORES E INSTALACIONES INTERNAS PARA LA ELECTRIFICACION RURAL DE LAS VEREDAS NUCUBUCA NUEVA GRANADA, ORTIGAL Y OTRAS FASE 1, MUNICIPÍO DE GUACA; 
CONSTRUCCION DE REDES DE MEDIA Y BAJA TENSION, MONTAJE TRANSFORMADORES E INSTALACIONES INTERNAS PARA LA ELECTRIFICACION RURAL DE LAS VEREDAS PUERTO ARGILIO Y CAÑO SAN PEDRO FASE 1 MUNICIPIO DE SIMACOTA; 
CONSTRUCCION DE REDES EN MEDIA Y BAJA TENSION, MONTAJE DE TRANSFORMADORES E INSTALACIONES INTERNAS PARA LA ELECTRIFICACION RURAL DE LAS VEREDAS QUITASOL, EL TOPON, LA HONDA Y OTRAS DEL MUNICIPIO DE GUADALUPE; 
CONSTRUCCION DE REDES Y MEDIA BAJA TENSION, INSTALACIONES INTERNAS Y MONTAJE DE TRANSFORMADORES PARA LA ELECTRIFICACION RURAL DE LAS VEREDAS TOGUI Y HONDURAS DEL MUNICIPIO DE EL PEÑON Y
CONSTRUCCION DE REDES DE MEDIA Y BAJA TENSION, MONTAJE DE TRANSFORMADORES E INSTALACIONES INTERNAS PÁRA LA ELECTRIFICACION RURAL DE LA VEREDA PUERTO RICO DEL MUNICIPIO DE VELEZ","SAN VICENTE DE CHUCURI -
GUACA -
SIMACOTA -
GUADALUPE -
EL PEÑON -
VELEZ",LIQUIDADO,2014-05-20T00:00:00.000,2015-12-02T00:00:00.000,100.00%,100.00%
2014,1218,$ 0.00,"$ 9,731,596.50",ADECUACION DEL PUENTE SOBRE LA QUEBRADA SECA EN LA VIA QUE COMUNICA A RIONEGRO CON EL CORREGIMIENTO LLANO DE PALMAS DEL MUNICIPIO DE RIONEGRO,RIONEGRO,LIQUIDADO,2014-04-04T00:00:00.000,2014-04-09T00:00:00.000,100.00%,100.00%
2014,1219,"ADICIONAL 1: 760,881,900 
ADICIONAL 4: 179.860.228,04","2.822.429.205,04.",CONSTRUCCION CENTRO DE ACOPIO DEL MUNICIPIO DE LEBRIJA,LEBRIJA,LIQUIDADO,2014-06-27T00:00:00.000,2016-12-28T00:00:00.000,90.00%,"90%
ACTA 5"
2014,1254,$ 0.00,"$ 4,779,935,039.90","CONSTRUCCION CONTROL DE CAUCE, PROTECCION Y REPOSICION INTERCEPTOR QUEBRADA LA CHIQUITA-ETAPA 3 MUNICIPIO DE BUCARAMANGA; 
CONSTRUCCION, OPTIMIZACION Y RECTIFICACION INTERCEPTOR LA CUELLAR, SECTOR BARRIO EL CRISTAL; 
CONSTRUCCION Y REPOSICION AL ALCANTARILLADO CARRERA 24 ENTRE LA TRANSVERSAL 24 A LA CALLE 89, BARRIO DIAMANTE II MUNICIPIO DE BUCARAMANGA",BUCARAMANGA,LIQUIDADO,2014-07-30T00:00:00.000,2015-07-14T00:00:00.000,"100%
100%
100%","100
ACTA FINAL"
2014,1262,$ 0.00,"$ 38,813,600.00",INTERVENTORIA. CONSTRUCCION INTERCEPTOR MAESTRO MARGEN IZQUIERDO RIO DE ORO P(ROI) R 23 AL P (ROI)R34 DEL MUNICIPIO DE PIEDECUESTA,PIEDECUESTA,LIQUIDADO,2014-04-30T00:00:00.000,2015-01-22T00:00:00.000,100.00%,100.00%
2014,1263,"$ 76,710,800.00","$ 230,132,400.00",INTERVENTORIA CONSTRUCCION DEL PARQUE ACUATICO EL LAGO - ACUALAGO- DEL MUNICIPIO DE FLORIDABLANCA,FLORIDABLANCA,LIQUIDADO,2014-04-25T00:00:00.000,2014-12-12T00:00:00.000,100.00%,"55,23%
ACTA 1"
2014,1266,$ 0.00,"$ 19,715,661.28",INTERVENTORIA REMODELACION DEL PARQUE PRINCIPAL DEL MUNICIPIO DE CABRERA SEGUNDA FASE,CABRERA,LIQUIDADO,2014-05-12T00:00:00.000,2014-09-11T00:00:00.000,100.00%,"100%
ACTA 1+ ACTA FINAL"
2014,1267,$ 0.00,"$ 29,185,600.00","INTERVENTORIA AMPLIACION Y OPTIMIZACION SISTEMA DE ACUEDUCTO CORSEACAL FASE I SECTOR PUENTE GRANDE, VEREDA SAN MIGUEL, MUNICIPIO DE CHIPATA",CHIPATA,LIQUIDADO,2014-06-03T00:00:00.000,2014-12-17T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1274,$ 0.00,"$ 60,320,000.00",INTERVENTORIA REPOSICION COLECTORES CALLE 56 ENTRE CARRERAS 44 Y 48 ; CALLE 57 ENTRE CARRERAS 44 Y 47; CARRERA 48 ENTRE CALLES 55 Y 56 Y CARRERA 44 ENTRE CALLES 56 Y 57 -BARRIO TERRAZAS - MUNICIPIO DE BUCARAMANGA,BUCARAMANGA,LIQUIDADO,2014-05-23T00:00:00.000,2014-12-29T00:00:00.000,100.00%,"100
ACTA FINAL"
2014,1276,$ 0.00,"$ 6,242,112,396.18","MEJORAMIENTO, REHABILITACION Y PAVIMENTACION DE LA RED SECUNDARIA PARA LA CONECTIVIDAD RRGIONAL EN EL PROGRAMA ESTRATEGICO DE INFRAESTRUCTURA DE CONECTIVIDAD PARA SANTANDER ENMARCADO DENTRO DEL CONTRATO PLAN DE LA NACION CON EL DEPARTAMENTO, CONPES 3775 DE 2013: LA CANTERA ENCINO , TRONCAL DEL MAGDALENA MEDIO PUERTO PARRA","ENCINO
PUERTO PARRA",LIQUIDADO,2014-10-24T00:00:00.000,2019-12-13T00:00:00.000,100.00%,"95,01%
ACTA 9"
2014,1283,$ 0.00,"$ 9,738,549.00","INTERVENTORIA ESTUDIOS, DISEÑOS Y PROYECTO DEL ACUEDUCTO BAJO CARMEN DEL MUNICIPIO DE EL CARMEN DE CHUCURI",EL CARMEN DE CHUCURI,LIQUIDADO,2014-06-16T00:00:00.000,2014-12-20T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1284,$ 0.00,"$ 38,373,960.00",INTERVENTORIA CONSTRUCION DEL CENTRO VIDA FASE I PARA LA ATENCION INTERAL Y BENEFICIO DEL ADULTO MAYOR DEL MUNICIPIO DE SANTAN BARBARA,SANTA BARBARA,LIQUIDADO,2014-06-09T00:00:00.000,2014-12-08T00:00:00.000,26.19%,"26,19%
ACTA FINAL"
2014,1285,$ 0.00,"$ 52,352,250.00",INTERVENTORIA CONSTRUCCION COLISEO CUBIERTO CASCO URBANO EN EL MUNICIPIO DE LANDAZURI,LANDAZURI,LIQUIDADO,SIN INICIAR,1899-12-31T00:00:00.000,0.00%,0.00%
2014,1295,$ 0.00,"$ 23,500,000.01",INTERVENTORIA CONSTRUCCION DE OBRAS CIVILES PARA ADECUACION Y MANTENIMIENTO DE L VERTEDERO DE LA REPRESA EL PASO COMO PROTECCION CONTRA LA ACCION EROSIVA DE LA QUEBRADA BARICHARA Y LIMPIEZA DE LODOS Y DRAGADO DE LA REPRESA EL PASO DE LA QUEBRADA BARICHARA,BARICHARA,LIQUIDADO,2014-05-26T00:00:00.000,2014-08-25T00:00:00.000,100.00%,100.00%
2014,1301,$ 0.00,"$ 14,305,000.02",INTERVENTORIA CONSTRUCCION SALON COMUNAL SECTOR AGUATENDIDA DEL MUNICIPIO DE CARCASI DEPARTAMENTO DE SANTANDER,CARCASI,LIQUIDADO,2014-07-15T00:00:00.000,2015-02-18T00:00:00.000,100.00%,"100
ACTA FINAL"
2014,1302,$ 0.00,"$ 12,273,900.02",INTERVENTORIA CONSTRUCCION POLIDEPORTIVO CORREGIMIENTO YARIMA MUNICIPIO DE SAN VICENTE DE CHUCURI,SAN VICENTE DE CHUCURI,LIQUIDADO,2014-07-21T00:00:00.000,2014-10-20T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1303,$ 0.00,"$ 14,700,000.01",INTERVENTORIA MANTENIMIENTO PERIODICO DE LAS VIAS CABRERA - OJO DE AGUA Y COLORADO DEL MUNICIPIO DE CABRERA SANTANDER,CABRERA,LIQUIDADO,2014-08-28T00:00:00.000,2014-12-27T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1304,"ADIC 1: 7.005.240,00
ADIC.2 $7,005,240","$ 42,031,440.00",INTERVENTORIA CONSTRUCCION CENTRO MULTIFUNCIONAL DE RECURSOS CULTURALES Y DE PARTICIPACION CIUDADANA EN EL CORREGIMIENTO EL CENTENARIO MUNICIPIO EL CARMEN DE CHUCURI,EL CARMEN DE CHUCURI,LIQUIDADO,2014-06-09T00:00:00.000,2017-02-10T00:00:00.000,100.00%,100.00%
2014,1313,$ 0.00,"$ 21,941,400.00",INTERVENTORIA CONSTRUCCION DE PAVIMENTO EN CONCRETO RIGIDO CARRERA 3 ENTRE CALLE 6 Y SALIDA A SAN BENITO NUEVO DEL MUNICIPIO DE SAN BENITO,SAN BENITO,LIQUIDADO,2014-06-12T00:00:00.000,2014-09-11T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1314,$ 0.00,"$ 54,405,450.00",INTERVENTORIA SUMINISTRO E INSTALACION DE SISTEMAS ENERGIA SOLAR FOTOVOLTAICA PARA ELECTRIFICACION RURAL EN EL MUNICIPIO DE PUERTO PARRA Y EL PLAYON,"PUERTO PARRA 
EL PLAYON",LIQUIDADO,2014-06-18T00:00:00.000,2014-10-27T00:00:00.000,100.00%,100.00%
2014,1315,$ 0.00,"$ 34,684,000.00","INTERVENTORIA CONSTRUCCION URBANISMO Y OBRAS COMPLEMENTARIAS URBANIZACION LOS ANGELES, MUNICIPIO DE CALIFORNIA",CALIFORNIA,LIQUIDADO,2014-07-14T00:00:00.000,2015-03-12T00:00:00.000,100.00%,100.00%
2014,1316,$ 0.00,"$ 24,607,542.00",INTERVENTORIA MANTENIMIENTO Y MEJORAMIENTO DE LA VIA SAN MIGUEL - ARENALES - AGUA SUCIA DEL MUNICIPIO DE SAN MIGUEL SANTANDER,SAN MIGUEL,LIQUIDADO,SIN INICIAR,1899-12-31T00:00:00.000,0.00%,0.00%
2014,1327,$ 0.00,"$ 37,294,000.00",INTERVENTORIA REHABILITACION DEL PARQUE PRINCIPAL DEL MUNICIPIO DE EL GUACAMAYO,GUACAMAYO,LIQUIDADO,2014-08-04T00:00:00.000,2014-12-03T00:00:00.000,100.00%,100.00%
2014,1333,$ 0.00,"$ 34,796,288.88",INTERVENTORIA CONSTRUCCION ACUEDUCTO VEREDA PAJARITO DEL MUNICIPIO DE MACARAVITA,MACARAVITA,LIQUIDADO,2014-06-18T00:00:00.000,2014-10-17T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1353,"$ 14,995,320.00","$ 45,445,320.00",INTERVENTORIA CONSTRUCCION CENTRO CULTURAL DE FERIAS Y EXPOSICIONES CORREGIMIENTO DE CINCELADA DEL MUNICIPIO DE COROMORO,COROMORO,LIQUIDADO,2014-08-06T00:00:00.000,2015-01-20T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1354,$ 0.00,"$ 177,471,022.99",INTERVENTORIA MEJORAMIENTO Y PAVIMENTACION DE LA VIA LA PLAYA CHARTA DEL MUNICIPIO DE CHARTA,CHARTA,LIQUIDADO,2014-06-27T00:00:00.000,2015-07-20T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1358,"$ 11,769,360.00","$ 82,385,520.00",INTERVENTORIA MEJORAMIENTO CANCHA DE FUTBOL MUNICIPAL UBICADA EN LA CARRERA 4 CON CALLE 3 DEL MUNICIPIO DE PIEDECUESTA,PIEDECUESTA,LIQUIDADO,2014-06-27T00:00:00.000,2015-04-17T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1359,$ 0.00,"$ 264,092,300.16","INTERVENTORIA CONSTRUCCION CONTROL DE CAUCE, PROTECCION Y REPOSICION INTERCEPTOR QUEBRADA LA CHIQUITA - ETAPA 3 MUNICIPIO DE BUCARAMANGA, INTERVENTORIA CONSTRUCCION, OPTIMIZACION Y RECTIFICACION INTERCEPTOR LA CUELLAR, SECTOR BARRIO EL CRISTAL E 
INTERVENTORIA CONSTRUCCION Y REPOSICION AL ALCANTARILLADO CARRERA 24 ENTRE LA TRANSVERSAL 24 A LA CALLE 89, BARRIO DIAMANTE II, MUNICIPIO DE BUCARAMANGA",BUCARAMANGA,LIQUIDADO,2014-07-30T00:00:00.000,2015-07-14T00:00:00.000,"100%
100%
100%","100%
ACTA FINAL"
2014,1360,$ 0.00,"$ 113,310,195.00",INTERVENTORIA ADECUACION Y CONSTRUCCION PLANTA FISICA PLAZA DE MERCADO MUNICIPIO DE SUAITA,SUAITA,LIQUIDADO,2014-06-27T00:00:00.000,2016-02-06T00:00:00.000,100.00%,100.00%
2014,1361,"$ 26,716,197.00","$ 93,506,690.00",INTERVENTORIA MEJORAMIENTO Y ADECUACION COLISEO CUBIERTO EN EL MUNICIPIO DE GUAVATA,GUAVATA,LIQUIDADO,2014-07-21T00:00:00.000,2015-06-20T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1364,$ 0.00,$ 0.00,INTERVENTORIA CONSTRUCCION PARQUE CORREGIMIENTO PUERTO ARAUJO DEL MUNICIPIO DE CIMITARRA,CIMITARRA,LIQUIDADO,2014-09-10T00:00:00.000,2015-12-02T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1368,"ADIC 1 DPTO: 39.118.100
ADIC 2 DPTO: 28.678.100,03","$ 185,150,500.03",INTERVENTORIA CONSTRUCCION CENTRO DE ACOPIO DEL MUNICIPIO DE LEBRIJA,LEBRIJA,LIQUIDADO,2014-06-27T00:00:00.000,2016-12-28T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1369,"$ 19,136,032.80","$ 84,065,176.80",INTERVENTORIA ADECUACION PLAZA DE MERCADO DEL MUNICIPIO DE CHARTA,CHARTA,LIQUIDADO,2014-06-27T00:00:00.000,2015-12-31T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1373,"$ 19,120,601.00","$ 200,938,603.50",INTERVENTORIA MANTENIMIENTO RUTINARIO Y PERIODICO DE LAS VIAS SECUNDARIAS Y TERCIARIAS DEL DEPARTAMENTO DE SANTANDER,"CALIFORNIA - 
VETAS -
ENCISO -
CARCASI",LIQUIDADO,2014-06-27T00:00:00.000,2015-03-19T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1386,"$ 30,262,360.00","$ 105,918,350.00","INTERVENTORIA CONSTRUCCION COLISEO CORREGIMIENTO EL HATILLO MUNICIPIO DE ALBANIA, DEPARTAMENTO DE SANTANDER",ALBANIA,LIQUIDADO,2014-08-27T00:00:00.000,2016-01-13T00:00:00.000,100.00%,100.00%
2014,1389,$ 0.00,"$ 65,829,545.00",INTERVENTORIA CONSTRUCCION COLISEO CASCO URBANO EN EL MUNICIPIO DE JESUS MARIA,JESUS MARIA,LIQUIDADO,SIN INICIAR,1899-12-31T00:00:00.000,0.00%,0.00%
2014,1393,$ 0.00,"$ 81,219,503.00",INTERVENTORIA CONSTRUCCION CANALIZACION CAÑO EL GALLINAZO MUNICIPIO DE CONCEPCION DEPARTAMENTO DE SANTANDER,CONCEPCION,LIQUIDADO,2014-07-21T00:00:00.000,2016-12-26T00:00:00.000,100.00%,100.00%
2014,1395,"$ 5,933,333.33","$ 23,733,333.33",INTERVENTORIA CONSTRUCCION PUENTE CORREGIMIENTO LAS FLORES MUNICIPIO DE BOLIVAR,BOLIVAR,LIQUIDADO,2014-08-21T00:00:00.000,2015-07-10T00:00:00.000,100.00%,"100
ACTA FINAL"
2014,1397,$ 0.00,"$ 20,700,000.02","INTERVENTORIA REMODELACION PARQUE PRINCIPAL SANTA CRUZ DE LA COLINA DEL MUNICIPIO DE MATANZA, SANTANDER",MATANZA,LIQUIDADO,2014-08-21T00:00:00.000,2014-12-20T00:00:00.000,100.00%,100.00%
2014,1501,$ 0.00,"$ 37,004,000.00",INTERVENTORIA ADECUACION DE LA ESTACION DE BOMBEO LA CAPILLA Y REPOSICION DE VALVULAS DE LA RED DE DISTRIBUCION DEL ACUEDUCTO URBANO DE VELEZ,VELEZ,LIQUIDADO,2014-09-09T00:00:00.000,2015-12-23T00:00:00.000,100.00%,100.00%
2014,1588,"$ 76,727,910.00","$ 230,183,730.00",INTERVENTORIA MEJORAMIENTO Y PAVIMENTACION VIA CHARALA - COROMORO DEPARTAMENTO DE SANTANDER,COROMORO,LIQUIDADO,2014-08-04T00:00:00.000,2015-09-07T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1589,"$ 29,258,100.00","$ 117,032,400.00",INTERVENTORIA MEJORAMIENTO Y PAVIMENTACION VIA OCAMONTE CHARALA SECTOR BUENAVISTA,OCAMONTE,LIQUIDADO,2014-08-04T00:00:00.000,2015-02-16T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1660,$ 0.00,"$ 23,771,810.40",INTERVENTORIA REHABILITACION Y MANTENIMIENTO DE LA VIA SAN VICENTE - ZAPATOCA DEPARTAMENTO DE SANTANDER,ZAPATOCA,LIQUIDADO,2014-09-10T00:00:00.000,2014-12-24T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1731,"$ 401,193,892.72","$ 2,169,536,822.61",CONSTRUCCION PAVIMENTO Y OBRAS COMPLEMENTARIAS DEL ANILLO VIAL DE LA MESA DE RUITOQUE EN LOS SECTORES: TRES ESQUINAS - LA MILONGA Y CASETA DE PABLO - ACAPULCO DEPARTAMENTO DE SANTANDER,GIRON,LIQUIDADO,2014-08-04T00:00:00.000,2015-06-21T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1733,$ 0.00,"$ 200,535,769.63",REHABILITACION Y MANTENIMIENTO DE LA VIA SAN VICENTE - ZAPATOCA DEPARTAMENTO DE SANTANDER,ZAPATOCA,LIQUIDADO,2014-09-10T00:00:00.000,2014-12-24T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1736,$ 0.00,"$ 22,649,116.00","INTERVENTORIA CONSTRUCCION SISTEMA DE SANEAMIENTO BASICO ONZAGA, SANTANDER",ONZAGA,LIQUIDADO,2014-08-28T00:00:00.000,2014-12-23T00:00:00.000,100.00%,"100%
ACTA 1"
2014,1749,$ 0.00,"$ 398,146,283.04",REMODELACION PARQUE PRINCIPAL SANTA CRUZ DE LA COLINA DEL MUNICIPIO DE MATANZA,MATANZA,LIQUIDADO,2014-08-21T00:00:00.000,2014-12-20T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,1793,"$ 65,835,749.86","$ 320,169,447.89",CONSTRUCCION PUENTE CORREGIMIENTO LAS FLORES MUNICIPIO DE BOLIVAR.,BOLIVAR,LIQUIDADO,2014-08-21T00:00:00.000,2015-07-10T00:00:00.000,100.00%,"100
ACTA FINAL"
2014,1797,"$ 28,915,900.00","$ 173,495,400.00",INTERVENTORIA CONSTRUCCION PAVIMENTO Y OBRAS COMPLEMENTARIAS DEL ANILLO VIAL DE LA MESA DE RUITOQUE EN LOS SECTORES: TRES ESQUINAS - LA MILONGA Y CASETA DE PABLO - ACAPULCO,GIRON,LIQUIDADO,2014-08-04T00:00:00.000,2015-06-21T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,2192,$ 0.00,$ 0.00,"LA GOBERNACION DE SANTANDER ENTREGA AL MUNICIPIO DE HATO Y ESTE RECIBE A TITULO DE COMODATO O PRESTAMO DE USO UNA MOTONIVELADORA MARCA SANY, MODELO SHG - 190C, SERIE 13PY22190073, DE PROPIEDAD DEL DEPARTAMENTO DE SANTANDER.",HATO,LIQUIDADO,2014-08-11T00:00:00.000,2020-03-10T00:00:00.000,0.00%,0.00%
2014,2199,"$ 96,984,310.41","$ 628,579,245.55",ADECUACION DE LA ESTACION DE BOMBEO LA CAPILLA Y REPOSICION DE VALVULAS DE LA RED DE DISTRIBUCION DEL ACUEDUCTO URBANO DE VELEZ,VELEZ,LIQUIDADO,2014-09-09T00:00:00.000,2015-12-23T00:00:00.000,100.00%,100.00%
2014,2202,"$ 470,948,922.86","$ 2,041,141,943.48",CONSTRUCCION OBRAS DE MITIGACION CORREDOR VIAL PANORAMA - CUMBRE MUNICIPIO DE FLORIDABLANCA,FLORIDABLANCA,LIQUIDADO,2014-10-20T00:00:00.000,2015-12-10T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,2263,"$ 461,568,654.38","$ 1,881,835,343.93",CONSTRUCCION DE LA FASE I DEL COLISEO DE FERIAS DEL MUNICIPIO DE PIEDECUESTA,PIEDECUESTA,LIQUIDADO,2014-10-08T00:00:00.000,2017-01-16T00:00:00.000,79.00%,"79,29%
ACTA 6"
2014,2283,$ 0.00,"$ 323,434,830.38",CONSTRUCCION SISTEMA DE SANEAMIENTO BASICO ONZAGA SANTANDER,ONZAGA,LIQUIDADO,2014-08-29T00:00:00.000,2014-12-23T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,2292,$ 0.00,"$ 39,632,274.93",MEJORAMIENTO DE LA VIA RIONEGRO - SANTA CRUZ DE LA COLINA DEL MUNICIPIO DE MATANZA,MATANZA,LIQUIDADO,2014-11-24T00:00:00.000,2014-12-23T00:00:00.000,100.00%,"100%
ACTA FINAL"
2014,2305,"$ 37,281,240.00","$ 136,697,880.00",INTERVENTORIA PARA LA CONSTRUCCION DE LA FASE I DEL COLISEO DE FERIAS DEL MUNICIPIO DE PIEDECUESTA SANTANDER.,PIEDECUESTA,LIQUIDADO,2014-10-08T00:00:00.000,2017-01-16T00:00:00.000,100.00%,"47,2%
ACTA 6"
2014,2319,"$ 6,999,997,002.76","$ 53,842,261,838.34","MEJORAMIENTO, REHABILITACION Y PAVIMENTACION DE LA RED SECUNDARIA PARA LA CONECTIVIDAD REGIONAL EN EL PROGRAMA ESTRATEGICO DE INFRAESTRUCTURA DE CONECTIVIDAD PARA SANTANDER ENMARCADO DENTRO DEL CONTRATO PLAN DE LA NACION CON EL DEPARTAMENTO DE SANTANDER, CONPES 3775 DE 2013- CORREDOR DEL FOLCLOR Y EL BOCADILLO EN LOS SECTORES (PUENTE NACIONAL - JESUS MARIA - LA BELLEZA / JESUS MARIA - LA VENTA )","PUENTE NACIONAL 
JESUS MARIA
LA BELLEZA",LIQUIDADO,2014-10-27T00:00:00.000,2018-12-04T00:00:00.000,100.00%,100.00%
